Chứng từ,Ngày tạo,Số chứng từ,Diễn giải,Vật tư,Tên vật tư,Kho,Đơn vị tính (1),SL 1,Đơn vị tính (2),SL 2,Giá,Tiền vốn,Tk Nợ,Tk Có,Đối tượng,Nhân viên,Phân xưởng,Bộ phận,Đơn hàng/Hợp đồng bán,Lệnh sản xuất,Công đoạn,Trung tâm chi phí,Sản phẩm,Mã vụ việc,Mã giao dịch
D1,4/1/2024,D104/24-0011,,0912600010000000,Tách Dầu SA37A FUSHENG,KQC001,CAI,1,CAI,1,4950000,4950000,1524,1524,NCC010074,,,,,,,,,,
D1,4/1/2024,D104/24-0012,,0922900060000000,lọc dầu SA37A FUSHENG,KQC001,CAI,1,CAI,1,820000,820000,1524,1524,NCC010074,,,,,,,,,,
D1,4/1/2024,D104/24-0013,,HAT-PPKC-T03,Hạt nhựa PP kéo sợi - T03,KQC001,Kg,78000,Kg,78000,27299.47,2129358836,1521,1521,NCC020012,,,,,,,,,,
D1,4/1/2024,D104/24-0247,,0905501940000000,VÍT BẮN TÔN 50mm,KQC001,KG,20,KG,20,67777.75,1355555,1524,1524,NCC010054,,,,,,,,,,
D1,4/1/2024,D104/24-0248,,0922300070000000,Cảo tăng đơ cáp 10,KQC001,Cái,20,Cái,20,20000,400000,1531,1531,NCC010054,,,,,,,,,,
D1,4/1/2024,D104/24-0253,,0922700082000000,Đá cắt 125mm,KQC001,LUOI,10,LUOI,10,12000,120000,1524,1524,NCC010054,,,,,,,,,,
D1,4/1/2024,D104/24-0254,,0903600130000000,Tôn kẻm 4 zem x6m,KQC001,TAM,36,TAM,36,543750,19575000,1524,1524,NCC010054,,,,,,,,,,
D1,4/1/2024,D104/24-0255,,0903600140000000,Tôn 4 sống,KQC001,TAM,36,M,36,529891.3056,19076087,1524,1524,NCC010054,,,,,,,,,,
D1,4/1/2024,D104/24-0256,,0905600520000000,Dây cáp thép 12mm,KQC001,Mét,100,Mét,100,19500,1950000,1524,1524,NCC010054,,,,,,,,,,
D1,4/1/2024,D104/24-0257,,0905500940000000,Sắt hộp tráng kẽm 30x60x1.8mm. - Dài 6000mm,KQC001,CAY,80,CAY,80,254510.93,20360875,1524,1524,NCC010054,,,,,,,,,,
D1,4/1/2024,D104/24-0258,,0906400050000000,C xiết cáp + tán,KQC001,CAI,60,CAI,60,23000,1380000,1524,1524,NCC010054,,,,,,,,,,
DC,4/1/2024,DC04/24-0001,Chuyển kho cuộn sang kho Kinh Doanh xuất cont TAMATRA US ngày 01/04,THACUASU099100100069TRDU,"Vải dệt thoi bằng sợi PP, dạng cuộn, loại 99cm, 75g/m",KCU001,M,6639,KG,101238,1898.58752,192209203,15517,15514,NCC020004,002281,,,SO2312-0029,,,,,,2260
DC,4/1/2024,DC04/24-0001,Chuyển kho cuộn sang kho Kinh Doanh xuất cont TAMATRA US ngày 01/04,THACUASU101100100071TRDU,"Vải manh cuộn PP màu trắng đục, K101.5cm, 10x10, caro láng, TL: 71.1g/m. [800D; 70gsm] (5000m/cuộn)",KCU001,M,6709,KG,101208,1902.40404,192538508,15517,15514,NCC020004,002281,,,SO2312-0029,,,,,,2260
DC,4/1/2024,DC04/24-0001,Chuyển kho cuộn sang kho Kinh Doanh xuất cont TAMATRA US ngày 01/04,THACUASU104100100072TRDU,"Vải manh cuộn PP màu trắng đục, K104.0cm, 10x10, caro láng, TL: 72.8g/m. [800D; 70gsm] (5000m/cuộn)",KCU001,M,8398.5,KG,121606,1793.79355,218136058,15517,15514,NCC020004,002281,,,SO2312-0029,,,,,,2260
DC,4/1/2024,DC04/24-0007,Chuyển Kho Thành Phẩm Bao sang kho Kinh Doanh xuất xe 51C-672.66 đi Cty MÊ KÔNG,TPH595920G112MEK.AQ3-40,"Bao TP-PP, trắng tẩy, K59.5x92.0PB (cm), TL: 112.0 (±3.0)g/cái, MK: AQ3 - 40KG [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài, bỏ vào túi HDPE, dán tem nhận diện]",KTP001,Cái,2168,KG,19700,2096.81797,41307314,15517,15515,KH010025,002221,,,SO2401-0052,,,,,,2260
DC,4/1/2024,DC04/24-0007,Chuyển Kho Thành Phẩm Bao sang kho Kinh Doanh xuất xe 51C-672.66 đi Cty MÊ KÔNG,TPH595920G112MEK.CF,"Bao TP-PP, trắng tẩy, K59.5x92.0PB (cm), TL: 112.0 (±3.0)g/cái, MK: CF - 40KG [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài, bỏ vào túi HDPE, dán tem nhận diện]",KTP001,Cái,2440.5,KG,22000,914.17223,20111789,15517,15515,KH010025,002221,,,SO2401-0052,,,,,,2260
DC,4/1/2024,DC04/24-0007,Chuyển Kho Thành Phẩm Bao sang kho Kinh Doanh xuất xe 51C-672.66 đi Cty MÊ KÔNG,TPH595920G112MEK.CF,"Bao TP-PP, trắng tẩy, K59.5x92.0PB (cm), TL: 112.0 (±3.0)g/cái, MK: CF - 40KG [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài, bỏ vào túi HDPE, dán tem nhận diện]",KTP001,Cái,224,KG,2000,922.975,1845950,15517,15515,KH010025,002221,,,SO2401-0052,,,,,,2260
HD,4/1/2024,169,"XK bán hàng ngày 01/04/2024, Xe 51C-67266 ;HĐ số 169",TPH595920G112MEK.AQ3-40,"Bao TP-PP, trắng tẩy, K59.5x92.0PB (cm), TL: 112.0 (±3.0)g/cái, MK: AQ3 - 40KG [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài, bỏ vào túi HDPE, dán tem nhận diện]",,Cái,2168,KG,19700,0,0,6321,15515,KH010025,,,,SO2401-0052,,,,,,2301
HD,4/1/2024,169,"XK bán hàng ngày 01/04/2024, Xe 51C-67266 ;HĐ số 169",TPH595920G112MEK.CF,"Bao TP-PP, trắng tẩy, K59.5x92.0PB (cm), TL: 112.0 (±3.0)g/cái, MK: CF - 40KG [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài, bỏ vào túi HDPE, dán tem nhận diện]",,Cái,2440.5,KG,22000,0,0,6321,15515,KH010025,,,,SO2401-0052,,,,,,2301
HD,4/1/2024,169,"XK bán hàng ngày 01/04/2024, Xe 51C-67266 ;HĐ số 169",TPH595920G112MEK.CF,"Bao TP-PP, trắng tẩy, K59.5x92.0PB (cm), TL: 112.0 (±3.0)g/cái, MK: CF - 40KG [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài, bỏ vào túi HDPE, dán tem nhận diện]",,Cái,224,KG,2000,0,0,6321,15515,KH010025,,,,SO2401-0052,,,,,,2301
HD,4/1/2024,NB-029,Xuất bán phế ngày 01/04/2024: phế bao mũ: 932kg*15.000đ _Xe 63C-028.59,PHE-PHEBAOKEO,Phế thu hồi bao keo khâu kéo sợi,,KG,932,KG,932,0,0,,,KH010013,,,,,,,,,,2301
HD,4/1/2024,NB-030,Xuất bán phế ngày 01/04/2024: Phế bao mũ: 966 kg*15.000đ ; phế tạp : 560kg*5000 XE 51C-098.27+xe 51D-293.16 _ Anh Mạnh,PHE-PHEBAOKEO,Phế thu hồi bao keo khâu kéo sợi,,KG,966,KG,966,0,0,,,KH010013,,,,,,,,,,2301
HD,4/1/2024,NB-030,Xuất bán phế ngày 01/04/2024: Phế bao mũ: 966 kg*15.000đ ; phế tạp : 560kg*5000 XE 51C-098.27+xe 51D-293.16 _ Anh Mạnh,PHE-PHETAP,PHẾ TẠP DƠ - VẢI ÁO BAO MANH QUẤN CUỘN BỊ DƠ,,KG,560,KG,560,0,0,,,KH010013,,,,,,,,,,2301
LR,4/1/2024,LR04/24-0001,Cm sợi đồng cấp,SOI-PR28-MI,"Sợi PP, màu trắng đục, 710D, 3.30mm. [MI]",KSO001,KG,212.8,KG,212.8,21041.64,4477661,15512,15512,CTY00001,,,,,,,,,,2270
LR,4/1/2024,LR04/24-0002,CM SỢI TẠM,SOI-MTD-01,"Sợi PP, trắng đục, 760D, 2.47mm.",KSO001,KG,148,KG,148,22290.42,3298982,15512,15512,CTY00001,,,,,,,,,,2270
LR,4/1/2024,LR04/24-0004,Chuyển phế xuất cho sx,PHE-PHECAT,Phế thu hồi khâu cắt.,KPH001,CAI,1912.8,KG,19128,500,9564000,15512,1527,CTY00001,,,,,,,,,,2270
LR,4/1/2024,LR04/24-0004,Chuyển phế xuất cho sx,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KPH001,KG,3669,KG,3669,5000,18345000,15512,1527,CTY00001,,,,,,,,,,2270
LR,4/1/2024,LR04/24-0004,Chuyển phế xuất cho sx,PHE-PHESOI,Phế thu hồi khâu kéo sợi,KPH001,KG,1980,KG,1980,5000,9900000,15512,1527,CTY00001,,,,,,,,,,2270
P1,4/1/2024,SIM04/24-001,"Xk bán hàng ngày 01/04/2024,Xe 51C-672.66",TPH595920G112MEK.AQ3-40,"Bao TP-PP, trắng tẩy, K59.5x92.0PB (cm), TL: 112.0 (±3.0)g/cái, MK: AQ3 - 40KG [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài, bỏ vào túi HDPE, dán tem nhận diện]",KKD001,Cái,2168,KG,19700,2096.81797,41307314,6321,15517,KH010025,001436,,,SO2401-0052,,,,,,2240
P1,4/1/2024,SIM04/24-001,"Xk bán hàng ngày 01/04/2024,Xe 51C-672.66",TPH595920G112MEK.CF,"Bao TP-PP, trắng tẩy, K59.5x92.0PB (cm), TL: 112.0 (±3.0)g/cái, MK: CF - 40KG [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài, bỏ vào túi HDPE, dán tem nhận diện]",KKD001,Cái,2440.5,KG,22000,914.17223,20111789,6321,15517,KH010025,001436,,,SO2401-0052,,,,,,2240
P1,4/1/2024,SIM04/24-001,"Xk bán hàng ngày 01/04/2024,Xe 51C-672.66",TPH595920G112MEK.CF,"Bao TP-PP, trắng tẩy, K59.5x92.0PB (cm), TL: 112.0 (±3.0)g/cái, MK: CF - 40KG [Đóng gói: 10 cái/xấp, gấp lại làm 3, 1 bó 10 xấp, dùng dây nilong buột chữ thập, marka hướng ra ngoài, bỏ vào túi HDPE, dán tem nhận diện]",KKD001,Cái,224,KG,2000,922.975,1845950,6321,15517,KH010025,001436,,,SO2401-0052,,,,,,2240
P1,4/1/2024,SIM04/24-002,Xuất bán phế ngày 01/04/2024 phế  BAO MŨ 932 kg *15.000đ/kg- XE 63H-028.59,PHE-PHEBAOKEO,Phế thu hồi bao keo khâu kéo sợi,KTL001,KG,932,KG,932,346.48,322920,6325,1527,KH010013,000009,,,,,,,,,2241
P1,4/1/2024,SIM04/24-003,Xuất bán phế ngày 01/04/2024 phế  BAO MŨ 966 kg *15.000đ/kg; Phế tạp 560kg*5.000đ/kg- XE 51C-098.27 và XE51D-293.16,PHE-PHEBAOKEO,Phế thu hồi bao keo khâu kéo sợi,KTL001,KG,966,KG,966,346.48,334701,6325,1527,KH010013,000009,,,,,,,,,2241
P1,4/1/2024,SIM04/24-003,Xuất bán phế ngày 01/04/2024 phế  BAO MŨ 966 kg *15.000đ/kg; Phế tạp 560kg*5.000đ/kg- XE 51C-098.27 và XE51D-293.16,PHE-PHETAP,PHẾ TẠP DƠ - VẢI ÁO BAO MANH QUẤN CUỘN BỊ DƠ,KTL001,KG,560,KG,560,0,0,6325,1527,KH010013,000009,,,,,,,,,2241
P1,4/1/2024,SIM04/24-004,Xk bán hàng ngày 01/04/2024;Số cont : ZCSU48878190 ;Số seal : A4220820570; INV : 080,THACUASU099100100069TRDU,"Vải dệt thoi bằng sợi PP, dạng cuộn, loại 99cm, 75g/m",KKD001,M,6739,KG,100000,1922.09203,192209203,6322,15517,NCC020004,001436,,,SO2312-0029,,,,,,2242
P1,4/1/2024,SIM04/24-004,Xk bán hàng ngày 01/04/2024;Số cont : ZCSU48878190 ;Số seal : A4220820570; INV : 080,THACUASU101100100071TRDU,"Vải manh cuộn PP màu trắng đục, K101.5cm, 10x10, caro láng, TL: 71.1g/m. [800D; 70gsm] (5000m/cuộn)",KKD001,M,6809,KG,100000,1925.38508,192538508,6322,15517,NCC020004,001436,,,SO2312-0029,,,,,,2242
P1,4/1/2024,SIM04/24-004,Xk bán hàng ngày 01/04/2024;Số cont : ZCSU48878190 ;Số seal : A4220820570; INV : 080,THACUASU104100100072TRDU,"Vải manh cuộn PP màu trắng đục, K104.0cm, 10x10, caro láng, TL: 72.8g/m. [800D; 70gsm] (5000m/cuộn)",KKD001,M,8526.5,KG,120000,1817.80048,218136058,6322,15517,NCC020004,001436,,,SO2312-0029,,,,,,2242
PX,4/1/2024,PX04/24-0001,XUẤT MỰC IN CHO KHAU IN,0700100350000000,Mực Gray 4274 gián tiếp,KHC001,KG,50,KG,50,113000,5650000,627315,1523,CTY00001,,Phân xưởng 8,,,,,,,,2216C
PX,4/1/2024,PX04/24-0001,XUẤT MỰC IN CHO KHAU IN,0909400020000000,BAO TAY CAO SU ,KVT001,DOI,10,DOI,10,14777.77,147778,627315,1524,CTY00001,,Phân xưởng 8,,,,,,,,2216C
PX,4/1/2024,PX04/24-0001,XUẤT MỰC IN CHO KHAU IN,MDM-DMC,Dung môi Chỉnh,KHC001,KG,50,KG,50,39000,1950000,627315,1523,CTY00001,,Phân xưởng 8,,,,,,,,2216C
PX,4/1/2024,PX04/24-0001,XUẤT MỰC IN CHO KHAU IN,MDM-DML,Dung Môi PP - Dung Môi trực tiếp,KHC001,KG,115,KG,115,39000,4485000,627315,1523,CTY00001,,Phân xưởng 8,,,,,,,,2216C
PX,4/1/2024,PX04/24-0001,XUẤT MỰC IN CHO KHAU IN,MDM-FL485,Đỏ 485C,KHC001,KG,125,KG,125,74000,9250000,627315,1523,CTY00001,,Phân xưởng 8,,,,,,,,2216C
PX,4/1/2024,PX04/24-0001,XUẤT MỰC IN CHO KHAU IN,MDM-FL485GT,Đỏ 485C gián tiếp,KHC001,KG,103,KG,103,75285.36,7754392,627315,1523,CTY00001,,Phân xưởng 8,,,,,,,,2216C
PX,4/1/2024,PX04/24-0001,XUẤT MỰC IN CHO KHAU IN,MDM-FL7701GT,Xanh Dương 7701C gián tiếp,KHC001,KG,25,KG,25,106000,2650000,627315,1523,CTY00001,,Phân xưởng 8,,,,,,,,2216C
PX,4/1/2024,PX04/24-0001,XUẤT MỰC IN CHO KHAU IN,MDM-FL92,Đen 92 FL,KHC001,KG,25,KG,25,69000,1725000,627315,1523,CTY00001,,Phân xưởng 8,,,,,,,,2216C
PX,4/1/2024,PX04/24-0001,XUẤT MỰC IN CHO KHAU IN,MDM-FLNHUVANG,Nhũ Vàng FL,KHC001,KG,25,KG,25,202000,5050000,627315,1523,CTY00001,,Phân xưởng 8,,,,,,,,2216C
PX,4/1/2024,PX04/24-0001,XUẤT MỰC IN CHO KHAU IN,MDM-FLXL3415C,Xanh Lá 3415C FL,KHC001,KG,25,KG,25,76000,1900000,627315,1523,CTY00001,,Phân xưởng 8,,,,,,,,2216C
PX,4/1/2024,PX04/24-0001,XUẤT MỰC IN CHO KHAU IN,MDM-FLXL3415CGT,Xanh Lá 3415C FL gián tiếp,KHC001,KG,50,KG,50,76034.14,3801707,627315,1523,CTY00001,,Phân xưởng 8,,,,,,,,2216C
PX,4/1/2024,PX04/24-0003,Xuất dầu cho xe nâng,0700100090000000,dầu do,KHC001,Lít,30,Lít,30,18871.3,566139,627310,1523,CTY00001,,Phòng Kho Vận,,,,,,,,2216
PX,4/1/2024,PX04/24-0004,Xuất nhớt ngày 01 và 02/04,0700100030000000,nhớt 10,KHC001,LIT,200,LIT,200,29545.45,5909091,627314,1523,CTY00001,,Xưởng dệt,,,,,,,,2216B
PX,4/1/2024,PX04/24-0005,Xuất vật tư px dệt 1/4/2024,0901900570000000,BÁNH XE LƯNG THOI 52mm NOVA6( mã: 11403580010).,KVT001,CAI,20,CAI,20,48965.45,979309,627314,1524,CTY00001,,Xưởng dệt,,,,,,,,2216B
PX,4/1/2024,PX04/24-0005,Xuất vật tư px dệt 1/4/2024,0902400060000000,ĐẦU DÙ SAU NOVA6 ( GC THEO BẢN VẼ ),KVT001,CAI,20,CAI,20,55010.66,1100213,627314,1524,CTY00001,,Xưởng dệt,,,,,,,,2216B
PX,4/1/2024,PX04/24-0005,Xuất vật tư px dệt 1/4/2024,0902400070000000,ĐẦU DÙ TRƯỚC NOVA6 ( GC THEO BẢN VẼ ),KVT001,CAI,20,CAI,20,54950.25,1099005,627314,1524,CTY00001,,Xưởng dệt,,,,,,,,2216B
PX,4/1/2024,PX04/24-0005,Xuất vật tư px dệt 1/4/2024,0903200020000000,CÀNG DAO ĐỘNG NHỰA (Nova6 063510a),KVT001,Cái,20,Cái,20,27537.12,550742,627314,1524,CTY00001,,Xưởng dệt,,,,,,,,2216B
PX,4/1/2024,PX04/24-0005,Xuất vật tư px dệt 1/4/2024,0904800200000000,CỐT KẸP ĐAI mã : NOVA6 495809 (6x30mm),KVT001,Cái,20,Cái,20,4800,96000,627314,1524,CTY00001,,Xưởng dệt,,,,,,,,2216B
PX,4/1/2024,PX04/24-0005,Xuất vật tư px dệt 1/4/2024,0904800700000000,Cốt ống lăn đai phi 12x110mm ( theo mẫu ),KVT001,CAI,20,CAI,20,19000,380000,627314,1524,CTY00001,,Xưởng dệt,,,,,,,,2216B
PX,4/1/2024,PX04/24-0005,Xuất vật tư px dệt 1/4/2024,0906100090000000,NỐI HƠI 1 ĐẦU REN 17/10,KVT001,Cái,10,Cái,10,10000,100000,627314,1531,CTY00001,,Xưởng dệt,,,,,,,,2216B
PX,4/1/2024,PX04/24-0005,Xuất vật tư px dệt 1/4/2024,0916700040000000,Móc lò xo cò mã : NOVA6 112523,KVT001,Cái,100,Cái,100,800,80000,627314,1524,CTY00001,,Xưởng dệt,,,,,,,,2216B
PX,4/1/2024,PX04/24-0005,Xuất vật tư px dệt 1/4/2024,0918500120000000,GỐI ĐỠ ĐẦU DÙ SAU NOVA - BEARING BLOCK REAR (MÃ : NOVA6 494502),KVT001,Cái,10,Cái,10,13021.25,130213,627314,1524,CTY00001,,Xưởng dệt,,,,,,,,2216B
PX,4/1/2024,PX04/24-0005,Xuất vật tư px dệt 1/4/2024,0923700060000000,Keo 502 THUẬN PHONG - size S - Hình con voi -,KVT001,LO,2,LO,2,6250,12500,627314,1524,CTY00001,,Xưởng dệt,,,,,,,,2216B
PX,4/1/2024,PX04/24-0006,Xuất vật tư px sợi ngày 1/4/2024,0905300130000000,dao móc chỉ,KVT001,Cái,25,Cái,25,4000,100000,627312,1524,CTY00001,,Xưởng sợi,,,,,,,,2216A
PX,4/1/2024,PX04/24-0006,Xuất vật tư px sợi ngày 1/4/2024,0909400030000000,BAO TAY LEN ,KVT001,Đôi,140,Đôi,140,5000.78,700110,627312,1524,CTY00001,,Xưởng sợi,,,,,,,,2216A
PX,4/1/2024,PX04/24-0007,Yêu cầu xuất nl thổi ngày 1/4/2024,HAT-EVA,"Hạt nhựa EVA: H2181, 7350M...",KNL001,KG,203.55,KG,203.55,32173.17,6548850,62113,1521,CTY00001,,Phân xưởng 8,,SO2403-0010,LSX03/24-039,PE,,HDPE523020TD,,2218
PX,4/1/2024,PX04/24-0007,Yêu cầu xuất nl thổi ngày 1/4/2024,HAT-HDPE-TH,"Hạt nhựa HDPE thổi hấp. [Bao gồm các mã: , 6888, TR-144, FB1460...]",KNL001,KG,1363.8,KG,1363.8,26015.33,35479708,62113,1521,CTY00001,,Phân xưởng 8,,SO2403-0010,LSX03/24-039,PE,,HDPE523020TD,,2218
PX,4/1/2024,PX04/24-0007,Yêu cầu xuất nl thổi ngày 1/4/2024,HAT-IMSL5A,Hạt slip IM-SL5A (Đại Á),KNL001,KG,22.44,KG,22.44,65000,1458600,62113,1521,CTY00001,,Phân xưởng 8,,SO2311-0037,LSX12/23-003,PE,,LDPE0002,,2218
PX,4/1/2024,PX04/24-0007,Yêu cầu xuất nl thổi ngày 1/4/2024,HAT-LDPE.THOI,Hạt nhựa LDPE thổi gồm các mã: 2427H; 0374; 4024W; .....,KNL001,KG,323.84,KG,323.84,27547.41,8920954,62113,1521,CTY00001,,Phân xưởng 8,,SO2311-0037,LSX12/23-003,PE,,LDPE0002,,2218
PX,4/1/2024,PX04/24-0007,Yêu cầu xuất nl thổi ngày 1/4/2024,HAT-LLDPE.THOI,"Hạt nhựa LLDPE thổi gồm các mã: 253HS; FC21HS; FD21HN; 222WJ, 218WJ",KNL001,KG,1886.94,KG,1886.94,26095.61,49240842,62113,1521,CTY00001,,Phân xưởng 8,,SO2311-0037,LSX12/23-003,PE,,LDPE0002,,2218
PX,4/1/2024,PX04/24-0007,Yêu cầu xuất nl thổi ngày 1/4/2024,HAT-LLDPE.THOI,"Hạt nhựa LLDPE thổi gồm các mã: 253HS; FC21HS; FD21HN; 222WJ, 218WJ",KNL001,KG,205.05,KG,205.05,26095.61,5350904,62113,1521,CTY00001,,Phân xưởng 8,,SO2403-0010,LSX03/24-039,PE,,HDPE523020TD,,2218
PX,4/1/2024,PX04/24-0007,Yêu cầu xuất nl thổi ngày 1/4/2024,HAT-TALC-THOI-IFC7,Hạt taical thổi HDPE IF-PE114C7 (Đại Á),KNL001,KG,545.55,KG,545.55,8150,4446232,62113,1521,CTY00001,,Phân xưởng 8,,SO2403-0010,LSX03/24-039,PE,,HDPE523020TD,,2218
PX,4/1/2024,PX04/24-0007,Yêu cầu xuất nl thổi ngày 1/4/2024,HAT-TPP,"Hạt nhựa TPP: FL7632L, Hạt L6000N ...",KNL001,KG,814.35,KG,814.35,29789.95,24259445,62113,1521,CTY00001,,Phân xưởng 8,,SO2403-0010,LSX03/24-039,PE,,HDPE523020TD,,2218
PX,4/1/2024,PX04/24-0008,Yêu cầu xuất NL Sợi X01 ca ngày 01/04/2024 & YCX  NL Sợi X01 ca đêm 01/04/2024-ngày 02/04-2024,HAT-EMPP-MF,"Hạt ổn định MFI. (MF4X, MF5X, MF6X)",KNL001,KG,3.43,KG,3.43,54000,185220,62112,1521,CTY00001,,Phân xưởng 1 (Sợi),,SO2312-0016,LSX03/24-066,SOI,,SOI-PR26-MI02,,2211
PX,4/1/2024,PX04/24-0008,Yêu cầu xuất NL Sợi X01 ca ngày 01/04/2024 & YCX  NL Sợi X01 ca đêm 01/04/2024-ngày 02/04-2024,HAT-MVCA-2014,Hạt màu vàng EMP2014(C. Âu),KNL001,KG,39.04,KG,39.04,83494.99,3259644,62112,1521,CTY00001,,Phân xưởng 1 (Sợi),,SO2401-0046,LSX03/24-030,SOI,,SOI-PRVA-02MI-01,,2211
PX,4/1/2024,PX04/24-0008,Yêu cầu xuất NL Sợi X01 ca ngày 01/04/2024 & YCX  NL Sợi X01 ca đêm 01/04/2024-ngày 02/04-2024,HAT-MVCA-2014,Hạt màu vàng EMP2014(C. Âu),KNL001,KG,44.67,KG,44.67,83494.99,3729721,62112,1521,CTY00001,,Phân xưởng 1 (Sợi),,SO2312-0016,LSX03/24-066,SOI,,SOI-PR26-MI02,,2211
PX,4/1/2024,PX04/24-0008,Yêu cầu xuất NL Sợi X01 ca ngày 01/04/2024 & YCX  NL Sợi X01 ca đêm 01/04/2024-ngày 02/04-2024,HAT-PPKC-114G,Hạt nhựa PP kéo sợi - 114G,KNL001,Kg,1241.5,Kg,1241.5,25188.71,31271783,62112,1521,CTY00001,,Phân xưởng 1 (Sợi),,SO2401-0046,LSX03/24-030,SOI,,SOI-PRVA-02MI-01,,2211
PX,4/1/2024,PX04/24-0008,Yêu cầu xuất NL Sợi X01 ca ngày 01/04/2024 & YCX  NL Sợi X01 ca đêm 01/04/2024-ngày 02/04-2024,HAT-PPKC-114G,Hạt nhựa PP kéo sợi - 114G,KNL001,Kg,3045.02,Kg,3045.02,25188.71,76700124,62112,1521,CTY00001,,Phân xưởng 1 (Sợi),,SO2403-0023,LSX03/24-050,SOI,,SOI-HV4,,2211
PX,4/1/2024,PX04/24-0008,Yêu cầu xuất NL Sợi X01 ca ngày 01/04/2024 & YCX  NL Sợi X01 ca đêm 01/04/2024-ngày 02/04-2024,HAT-PPKC-114G,Hạt nhựa PP kéo sợi - 114G,KNL001,Kg,184.61,Kg,184.61,25188.71,4650088,62112,1521,CTY00001,,Phân xưởng 1 (Sợi),,SO2403-0023,LSX03/24-050,SOI,,SOI-HV4,,2211
PX,4/1/2024,PX04/24-0008,Yêu cầu xuất NL Sợi X01 ca ngày 01/04/2024 & YCX  NL Sợi X01 ca đêm 01/04/2024-ngày 02/04-2024,HAT-PPKC-114G,Hạt nhựa PP kéo sợi - 114G,KNL001,Kg,1020.74,Kg,1020.74,25188.71,25711123,62112,1521,CTY00001,,Phân xưởng 1 (Sợi),,SO2312-0016,LSX03/24-066,SOI,,SOI-PR26-MI02,,2211
