Chứng từ,Ngày tạo,Số chứng từ,Diễn giải,Vật tư,Tên vật tư,Kho,Đơn vị tính (1),SL 1,Đơn vị tính (2),SL 2,Giá,Tiền vốn,Tk Nợ,Tk Có,Đối tượng,Nhân viên,Bộ phận,Đơn hàng/Hợp đồng mua,Lệnh sản xuất,Công việc,Công đoạn,Mã trung tâm chi phí,Sản phẩm,Mã vụ việc,Mã giao dịch
TP,1/1/2025,TP01/25-077,Nhập tp thổi ngày 11/1/2025,HDPE0017-1,"Cuộn HDPE, K59.0cm, 22.2g/m, 22.0mic, trắng trong. [Ext B: 95.0HD + 5.0LL]",KBT001,M,65.7,KG,3100,0,0,15513,15413,CTY00001,,,,LSX01/25-007,Công đoạn thổi túi (HDPE - LDPE-LLDPE),PE,,0102109030000000,,2158
TP,1/1/2025,TP01/25-077,Nhập tp thổi ngày 11/1/2025,HDPE0017-1,"Cuộn HDPE, K59.0cm, 22.2g/m, 22.0mic, trắng trong. [Ext B: 95.0HD + 5.0LL]",KBT001,M,65.6,KG,3100,0,0,15513,15413,CTY00001,,,,LSX01/25-007,Công đoạn thổi túi (HDPE - LDPE-LLDPE),PE,,0102109030000000,,2158
TP,1/1/2025,TP01/25-077,Nhập tp thổi ngày 11/1/2025,HDPE0017-1,"Cuộn HDPE, K59.0cm, 22.2g/m, 22.0mic, trắng trong. [Ext B: 95.0HD + 5.0LL]",KBT001,M,66,KG,3100,0,0,15513,15413,CTY00001,,,,LSX01/25-007,Công đoạn thổi túi (HDPE - LDPE-LLDPE),PE,,0102109030000000,,2158
TP,1/1/2025,TP01/25-077,Nhập tp thổi ngày 11/1/2025,HDPE0017-1,"Cuộn HDPE, K59.0cm, 22.2g/m, 22.0mic, trắng trong. [Ext B: 95.0HD + 5.0LL]",KBT001,M,65.4,KG,3100,0,0,15513,15413,CTY00001,,,,LSX01/25-007,Công đoạn thổi túi (HDPE - LDPE-LLDPE),PE,,0102109030000000,,2158
TP,1/1/2025,TP01/25-077,Nhập tp thổi ngày 11/1/2025,HDPE0017-1,"Cuộn HDPE, K59.0cm, 22.2g/m, 22.0mic, trắng trong. [Ext B: 95.0HD + 5.0LL]",KBT001,M,64.8,KG,3100,0,0,15513,15413,CTY00001,,,,LSX01/25-007,Công đoạn thổi túi (HDPE - LDPE-LLDPE),PE,,0102109030000000,,2158
TP,1/1/2025,TP01/25-077,Nhập tp thổi ngày 11/1/2025,HDPE0017-1,"Cuộn HDPE, K59.0cm, 22.2g/m, 22.0mic, trắng trong. [Ext B: 95.0HD + 5.0LL]",KBT001,M,65.4,KG,3100,0,0,15513,15413,CTY00001,,,,LSX01/25-007,Công đoạn thổi túi (HDPE - LDPE-LLDPE),PE,,0102109030000000,,2158
TP,1/1/2025,TP01/25-077,Nhập tp thổi ngày 11/1/2025,HDPE0017-1,"Cuộn HDPE, K59.0cm, 22.2g/m, 22.0mic, trắng trong. [Ext B: 95.0HD + 5.0LL]",KBT001,M,65.7,KG,3100,0,0,15513,15413,CTY00001,,,,LSX01/25-007,Công đoạn thổi túi (HDPE - LDPE-LLDPE),PE,,0102109030000000,,2158
TP,1/1/2025,TP01/25-077,Nhập tp thổi ngày 11/1/2025,HDPE0017-1,"Cuộn HDPE, K59.0cm, 22.2g/m, 22.0mic, trắng trong. [Ext B: 95.0HD + 5.0LL]",KBT001,M,65.3,KG,3100,0,0,15513,15413,CTY00001,,,,LSX01/25-007,Công đoạn thổi túi (HDPE - LDPE-LLDPE),PE,,0102109030000000,,2158
TP,1/1/2025,TP01/25-077,Nhập tp thổi ngày 11/1/2025,HDPE0017-1,"Cuộn HDPE, K59.0cm, 22.2g/m, 22.0mic, trắng trong. [Ext B: 95.0HD + 5.0LL]",KBT001,M,65.4,KG,3100,0,0,15513,15413,CTY00001,,,,LSX01/25-007,Công đoạn thổi túi (HDPE - LDPE-LLDPE),PE,,0102109030000000,,2158
TP,1/1/2025,TP01/25-077,Nhập tp thổi ngày 11/1/2025,PHE-HDPE,Phế HDPE.,KPH001,KG,2,KG,2,0,0,1527,15413,CTY00001,,,,LSX01/25-007,Công đoạn thổi túi (HDPE - LDPE-LLDPE),PE,,0102109030000000,,2158
TP,1/1/2025,TP01/25-080,Nhập báo cáo ép kiện bao jumbo ngày 22/12/2024,01JBO-4P009-01-0000,"Bao Jumbo màu trắng thân ráp không tráng, chống phình, chống xì, quai elip, ống xả, nắm trùm kích thước 105x105x110(cm); TL: 2.5(Kg/cái) có in; Marka: AMRU RICE (ASIA PACKING)",KTP001,Cái,1754.5,KG,700,0,0,15516,15412,CTY00001,,,,LSX12/24-049,Công đoạn ép kiện JUMBO,BAOJUMBO,,01JBO-4P009-01-0000,,2154
DC,1/2/2025,DC01/25-0014,Chuyển Kho Thành Phẩm Bao sang kho Kinh Doanh xuất xe 51C-672.66 đi Cty Inter,TPH050074G074INT,"Bao TP-PP, trắng tẩy, K50x74LL (+/-1), TL: 74g/cái (+/-3%), không in. [Mã: 5000931] (Tép 20 cái gấp 03. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập).",KKD001,CAI,358,KG,5000,0,0,15517,15515,KH010014,001306,,,,,,,,,2260
DC,1/2/2025,DC01/25-0014,Chuyển Kho Thành Phẩm Bao sang kho Kinh Doanh xuất xe 51C-672.66 đi Cty Inter,TPH060088INT.AQ28.058,"Bao TP-PP, trắng tẩy, K60x88LL, TL: 105g/cái, MK: AQUA FLOUR 28 - CODE 058 (2+1) (Mã: 5000615). [Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập]",KKD001,Cái,420,KG,4000,3237.885,12951540,15517,15515,KH010014,001306,,,,,,,,,2260
PN,1/2/2025,PN01/25-001,Số dư đầu kỳ xuất bán phế,PHE-PHETAP,PHẾ TẠP DƠ - VẢI ÁO BAO MANH QUẤN CUỘN BỊ DƠ,KTL001,KG,1850,KG,1850,0,0,1527,3388,CTY00001,,,,,,,,,,2100
PN,1/2/2025,PN01/25-008,Mua nhớt phục vụ SX Tháng 01/2025 PO12/24-093,0700100030000000,nhớt 10,KQC001,LIT,2000,LIT,2000,30909.091,61818182,1523,3311,NCC010046,,,PO12/24-093,,,,,,,2119
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,1,KG,1,0,0,1527,15414,CTY00001,,,,LSX12/24-055,Công đoạn dệt,VAICUON,,0102129003000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,4,KG,4,0,0,1527,15414,CTY00001,,,,LSX12/24-055,Công đoạn dệt,VAICUON,,0102129003000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,1,KG,1,0,0,1527,15414,CTY00001,,,,LSX12/24-055,Công đoạn dệt,VAICUON,,0102129003000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,4,KG,4,0,0,1527,15414,CTY00001,,,,LSX12/24-055,Công đoạn dệt,VAICUON,,0102129003000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,1,KG,1,0,0,1527,15414,CTY00001,,,,LSX12/24-062,Công đoạn dệt,VAICUON,,THADGTAU127080080078TRDU,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,1,KG,1,0,0,1527,15414,CTY00001,,,,LSX12/24-062,Công đoạn dệt,VAICUON,,THADGTAU127080080078TRDU,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,1,KG,1,0,0,1527,15414,CTY00001,,,,LSX12/24-058,Công đoạn dệt,VAICUON,,0102107006000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,4,KG,4,0,0,1527,15414,CTY00001,,,,LSX12/24-058,Công đoạn dệt,VAICUON,,0102107006000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,1,KG,1,0,0,1527,15414,CTY00001,,,,LSX12/24-055,Công đoạn dệt,VAICUON,,0102129003000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,4,KG,4,0,0,1527,15414,CTY00001,,,,LSX12/24-055,Công đoạn dệt,VAICUON,,0102129003000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,1,KG,1,0,0,1527,15414,CTY00001,,,,LSX12/24-046,Công đoạn dệt,VAICUON,,0119109032000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,3,KG,3,0,0,1527,15414,CTY00001,,,,LSX12/24-046,Công đoạn dệt,VAICUON,,0119109032000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,1,KG,1,0,0,1527,15414,CTY00001,,,,LSX12/24-079,Công đoạn dệt,VAICUON,,0102125012000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,4,KG,4,0,0,1527,15414,CTY00001,,,,LSX12/24-079,Công đoạn dệt,VAICUON,,0102125012000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,1,KG,1,0,0,1527,15414,CTY00001,,,,LSX12/24-018,Công đoạn dệt,VAICUON,,0102125051000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,4,KG,4,0,0,1527,15414,CTY00001,,,,LSX12/24-018,Công đoạn dệt,VAICUON,,0102125051000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,3.5,KG,3.5,0,0,1527,15414,CTY00001,,,,LSX12/24-018,Công đoạn dệt,VAICUON,,0102125051000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,1,KG,1,0,0,1527,15414,CTY00001,,,,LSX12/24-020,Công đoạn dệt,VAICUON,,0102125059000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,3,KG,3,0,0,1527,15414,CTY00001,,,,LSX12/24-020,Công đoạn dệt,VAICUON,,0102125059000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,1,KG,1,0,0,1527,15414,CTY00001,,,,LSX12/24-046,Công đoạn dệt,VAICUON,,0119109032000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,4,KG,4,0,0,1527,15414,CTY00001,,,,LSX12/24-046,Công đoạn dệt,VAICUON,,0119109032000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,3.5,KG,3.5,0,0,1527,15414,CTY00001,,,,LSX12/24-044,Công đoạn dệt,VAICUON,,0119124006000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,1,KG,1,0,0,1527,15414,CTY00001,,,,LSX12/24-069,Công đoạn dệt,VAICUON,,TPH055090G108TDLU.XXX,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,4,KG,4,0,0,1527,15414,CTY00001,,,,LSX12/24-069,Công đoạn dệt,VAICUON,,TPH055090G108TDLU.XXX,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,1,KG,1,0,0,1527,15414,CTY00001,,,,LSX11/24-013,Công đoạn dệt,VAICUON,,0119124001002000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,4,KG,4,0,0,1527,15414,CTY00001,,,,LSX11/24-013,Công đoạn dệt,VAICUON,,0119124001002000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,1,KG,1,0,0,1527,15414,CTY00001,,,,LSX12/24-063,Công đoạn dệt,VAICUON,,TPH060096G180TTKCP.TONG,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,3,KG,3,0,0,1527,15414,CTY00001,,,,LSX12/24-063,Công đoạn dệt,VAICUON,,TPH060096G180TTKCP.TONG,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,1,KG,1,0,0,1527,15414,CTY00001,,,,LSX12/24-046,Công đoạn dệt,VAICUON,,0119109032000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,3,KG,3,0,0,1527,15414,CTY00001,,,,LSX12/24-046,Công đoạn dệt,VAICUON,,0119109032000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,1,KG,1,0,0,1527,15414,CTY00001,,,,LSX12/24-045,Công đoạn dệt,VAICUON,,0102125017000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,3,KG,3,0,0,1527,15414,CTY00001,,,,LSX12/24-045,Công đoạn dệt,VAICUON,,0102125017000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,1,KG,1,0,0,1527,15414,CTY00001,,,,LSX12/24-008,Công đoạn dệt,VAICUON,,0102125064000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,4,KG,4,0,0,1527,15414,CTY00001,,,,LSX12/24-008,Công đoạn dệt,VAICUON,,0102125064000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,1,KG,1,0,0,1527,15414,CTY00001,,,,LSX12/24-008,Công đoạn dệt,VAICUON,,0102125064000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,4,KG,4,0,0,1527,15414,CTY00001,,,,LSX12/24-008,Công đoạn dệt,VAICUON,,0102125064000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,3.5,KG,3.5,0,0,1527,15414,CTY00001,,,,LSX12/24-008,Công đoạn dệt,VAICUON,,0102125064000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,1,KG,1,0,0,1527,15414,CTY00001,,,,LSX11/24-058,Công đoạn dệt,VAICUON,,TPH075112G119TTINT.CAMI,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,5,KG,5,0,0,1527,15414,CTY00001,,,,LSX11/24-058,Công đoạn dệt,VAICUON,,TPH075112G119TTINT.CAMI,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,1,KG,1,0,0,1527,15414,CTY00001,,,,LSX12/24-062,Công đoạn dệt,VAICUON,,THADGTAU127080080078TRDU,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,5,KG,5,0,0,1527,15414,CTY00001,,,,LSX12/24-062,Công đoạn dệt,VAICUON,,THADGTAU127080080078TRDU,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,1,KG,1,0,0,1527,15414,CTY00001,,,,LSX11/24-058,Công đoạn dệt,VAICUON,,TPH075112G119TTINT.CAMI,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,4,KG,4,0,0,1527,15414,CTY00001,,,,LSX11/24-058,Công đoạn dệt,VAICUON,,TPH075112G119TTINT.CAMI,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,3.5,KG,3.5,0,0,1527,15414,CTY00001,,,,LSX12/24-062,Công đoạn dệt,VAICUON,,THADGTAU127080080078TRDU,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,2,KG,2,0,0,1527,15414,CTY00001,,,,LSX12/24-055,Công đoạn dệt,VAICUON,,0102129003000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,5,KG,5,0,0,1527,15414,CTY00001,,,,LSX12/24-055,Công đoạn dệt,VAICUON,,0102129003000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,4.6,KG,4.6,0,0,1527,15414,CTY00001,,,,LSX12/24-077,Công đoạn dệt,VAICUON,,01JBO-TU001-06-0001,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,6.5,KG,6.5,0,0,1527,15414,CTY00001,,,,LSX12/24-077,Công đoạn dệt,VAICUON,,01JBO-TU001-06-0001,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,2.5,KG,2.5,0,0,1527,15414,CTY00001,,,,LSX12/24-058,Công đoạn dệt,VAICUON,,0102107006000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,3,KG,3,0,0,1527,15414,CTY00001,,,,LSX12/24-058,Công đoạn dệt,VAICUON,,0102107006000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,2,KG,2,0,0,1527,15414,CTY00001,,,,LSX11/24-029,Công đoạn dệt,VAICUON,,THACAVAI900100100125XXXX,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,5.5,KG,5.5,0,0,1527,15414,CTY00001,,,,LSX11/24-029,Công đoạn dệt,VAICUON,,THACAVAI900100100125XXXX,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,3,KG,3,0,0,1527,15414,CTY00001,,,,LSX12/24-046,Công đoạn dệt,VAICUON,,0119109032000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,7.5,KG,7.5,0,0,1527,15414,CTY00001,,,,LSX12/24-046,Công đoạn dệt,VAICUON,,0119109032000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,3,KG,3,0,0,1527,15414,CTY00001,,,,LSX12/24-079,Công đoạn dệt,VAICUON,,0102125012000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,7.5,KG,7.5,0,0,1527,15414,CTY00001,,,,LSX12/24-079,Công đoạn dệt,VAICUON,,0102125012000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,2,KG,2,0,0,1527,15414,CTY00001,,,,LSX10/24-072,Công đoạn dệt,VAICUON,,0119124004004000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,6,KG,6,0,0,1527,15414,CTY00001,,,,LSX10/24-072,Công đoạn dệt,VAICUON,,0119124004004000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,1,KG,1,0,0,1527,15414,CTY00001,,,,LSX12/24-020,Công đoạn dệt,VAICUON,,0102125059000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,3,KG,3,0,0,1527,15414,CTY00001,,,,LSX12/24-020,Công đoạn dệt,VAICUON,,0102125059000000,,2109B
TP,1/2/2025,TP01/25-001,Nhập báo cáo dệt ngày 02/01/2025,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KCU001,KG,1,KG,1,0,0,1527,15414,CTY00001,,,,LSX01/25-017,Công đoạn dệt,VAICUON,,0102109008000000,,2109B
